I	FM	I
zehnten	ADJA	zehnt
Teil	NN	Teil
unseres	PPOSAT	unser
Vermögens	NN	Vermögen
hinzulegen	VVIZU	hinlegen
,	$,	,
wenn	KOUS	wenn
wir	PPER	wir
unter	APPR	unter
dem	ART	die
Kram	NN	Kram
eines	ART	eine
Antiquitätenhändlers	NN	Antiquitätenhändler
den	ART	die
Kopf	NN	Kopf
eines	ART	eine
sterbenden	ADJA	sterbend
Adonis	NN	Adonis
oder	KON	oder
eine	ART	eine
Gemme	NN	Gemme
mit	APPR	mit
beflügelten	ADJA	beflügelt
Kindern	NN	Kind
finden	VVINF	finden
.	$.	.
Wir	PPER	wir
fahren	VVFIN	fahren
stundenweit	ADJD	stundenweit
ins	APPRART	in
Gebirge	NN	Gebirge
,	$,	,
um	KOUI	um
die	ART	die
Fresken	NN	Fresko
zu	PTKZU	zu
sehen	VVINF	sehen
,	$,	,
die	PRELS	die
eine	ART	eine
längstvermoderte	ADJA	längstvermoderte
Hand	NN	Hand
an	APPR	an
die	ART	die
Wände	NN	Wand
einer	ART	eine
halbverfallenen	ADJA	halbverfallen
Kapelle	NN	Kapelle
gemalt	VVPP	malen
hat	VAFIN	haben
.	$.	.
Wir	PPER	wir
begehen	VVFIN	begehen
die	ART	die
größten	ADJA	groß
Torheiten	NN	Torheit
um	APPR	um
einer	ART	eine
Frau	NN	Frau
willen	APPO	willen
,	$,	,
die	PRELS	die
wir	PPER	wir
im	APPRART	in
Vorübergehen	NN	Vorübergehen
gesehen	VVPP	sehen
haben	VAFIN	haben
;	$.	;
und	KON	und
um	APPR	um
die	ART	die
Bänder	NN	Band
eines	ART	eine
Mieders	NN	Mieders
aufzulösen	VVIZU	auflösen
,	$,	,
ehe	KOUS	ehe
wir	PPER	wir
wissen	VVFIN	wissen
,	$,	,
was	PWS	was
dieses	PDAT	dies
Mieder	NN	Mieder
verbirgt	VVFIN	verbergen
,	$,	,
setzen	VVFIN	setzen
wir	PPER	wir
unser	PPOSAT	unser
Leben	NN	Leben
ein	PTKVZ	ein
und	KON	und
bedenken	VVFIN	bedenken
uns	PPER	wir
keinen	PIAT	keine
Augenblick	NN	Augenblick
.	$.	.
Aber	KON	aber
einen	ART	eine
Mann	NN	Mann
,	$,	,
der	PRELS	die
uns	PPER	wir
gefällt	VVFIN	gefallen
,	$,	,
anzureden	VVIZU	anreden
,	$,	,
einen	ART	eine
Menschen	NN	Mensch
zu	PTKZU	zu
suchen	VVINF	suchen
,	$,	,
ein	ART	eine
Gespräch	NN	Gespräch
,	$,	,
das	PRELS	die
vielleicht	ADV	vielleicht
Unendliches	NN	Unendliche
bietet	VVFIN	bieten
,	$,	,
welche	PRELS	welche
Schwerfälligkeit	NN	Schwerfälligkeit
haben	VAFIN	haben
wir	PPER	wir
da	ADV	da
,	$,	,
welche	PRELS	welche
Mischung	NN	Mischung
von	APPR	von
Bauernstolz	NN	Bauernstolz
und	KON	und
Schüchternheit	NN	Schüchternheit
.	$.	.
Die	ART	die
Zurückhaltung	NN	Zurückhaltung
,	$,	,
deren	PRELAT	die
wir	PPER	wir
uns	PRF	wir
einer	ART	eine
Statue	NN	Statue
,	$,	,
einem	ART	eine
Gemälde	NN	Gemälde
,	$,	,
einer	ART	eine
Frau	NN	Frau
gegenüber	APPO	gegenüber
schämen	VVINF	schämen
würden	VAFIN	werden
,	$,	,
einem	ART	eine
Manne	NN	Mann
gegenüber	APPO	gegenüber
scheint	VVFIN	scheinen
sie	PPER	sie
uns	PRF	wir
am	APPRART	an
Platz	NN	Platz
.	$.	.
VENIER	NN	VENIER
.	$.	.
Und	KON	und
ist	VAFIN	sein
es	PPER	es
vielleicht	ADV	vielleicht
auch	ADV	auch
ebendarum	ADV	ebendarum
,	$,	,
weil	KOUS	weil
wir	PPER	wir
Männer	NN	Mann
sind	VAFIN	sein
.	$.	.
BARON	NN	Baron
trinkt	VVFIN	trinken
sein	PPOSAT	sein
Glas	NN	Glas
aus	PTKVZ	aus
.	$.	.
Du	PPER	du
bist	VAFIN	sein
ein	ART	eine
Venezianer	NN	Venezianer
,	$,	,
ich	PPER	ich
bins	VVFIN	bins
zehnfach	ADJD	zehnfach
!	$.	!
Der	ART	die
Fischer	NE	Fischer
hat	VAFIN	haben
sein	PPOSAT	sein
Netz	NN	Netz
,	$,	,
und	KON	und
der	ART	die
Patrizier	NN	Patrizier
das	ART	die
rote	ADJA	rot
Kleid	NN	Kleid
und	KON	und
einen	ART	eine
Stuhl	NN	Stuhl
im	APPRART	in
Rat	NN	Rat
,	$,	,
der	ART	die
Bettler	NN	Bettler
seinen	PPOSAT	sein
Sitz	NN	Sitz
am	APPRART	an
Rand	NN	Rand
der	ART	die
Säule	NN	Säule
,	$,	,
die	ART	die
Tänzerin	NN	Tänzerin
ihr	PPOSAT	ihr
Haus	NN	Haus
,	$,	,
der	ART	die
alte	ADJA	alt
Doge	NN	Doge
den	ART	die
Ehering	NN	Ehering
des	ART	die
Meeres	NN	Meer
,	$,	,
der	ART	die
Gefangne	NN	Gefangne
in	APPR	in
seiner	PPOSAT	sein
Zelle	NN	Zelle
früh	ADJD	früh
den	ART	die
salzigen	ADJA	salzig
Duft	NN	Duft
und	KON	und
blassen	ADJA	blass
Widerschein	NN	Widerschein
der	ART	die
Purpursonne	NN	Purpursonne
:	$.	:
ich	PPER	ich
schmecke	VVFIN	schmecken
alles	PIS	alle
dies	PDS	dies
mit	APPR	mit
einer	ART	eine
Zunge	NN	Zunge
!	$.	!
VENIER	NN	VENIER
für	APPR	für
sich	PRF	sich
.	$.	.
Wer	PWS	wer
ist	VAFIN	sein
der	ART	die
Mensch	NN	Mensch
?	$.	?
BARON	NN	Baron
.	$.	.
Hoho	NE	Hoho
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
vergeßlich	ADJD	vergesslich
.	$.	.
Wie	KOKOM	wie
gehts	NN	gehts
der	ART	die
schönen	ADJA	schön
Frau	NN	Frau
des	ART	die
Prokurators	NN	Prokurators
Manin	NN	Manin
?	$.	?
VENIER	NN	VENIER
.	$.	.
Die	PDS	die
lebt	VVFIN	leben
nicht	PTKNEG	nicht
mehr	ADV	mehr
.	$.	.
BARON	NN	Baron
.	$.	.
Die	PDS	die
lebt	VVFIN	leben
nicht	PTKNEG	nicht
mehr	ADV	mehr
?	$.	?
Mit	APPR	mit
den	ART	die
meergrünen	ADJA	meergrünen
Augen	NN	Auge
!	$.	!
VENIER	NN	VENIER
.	$.	.
Die	PDS	die
ist	VAFIN	sein
tot	ADJD	tot
Seit	APPR	seit
sieben	CARD	sieben
Jahren	NN	Jahr
.	$.	.
BARON	NN	Baron
.	$.	.
Tot	ADJD	tot
?	$.	?
Was	PRELS	was
du	PPER	du
nicht	PTKNEG	nicht
sagst	VVFIN	sagen
!	$.	!
VENIER	NN	VENIER
.	$.	.
So	ADV	so
ist	VAFIN	sein
es	PPER	es
lang	ADJD	lang
,	$,	,
daß	KOUS	dass
Sie	PPER	Sie
den	ART	die
Aufenthalt	NN	Aufenthalt
...	$.	...
BARON	NN	Baron
.	$.	.
Recht	ADJD	recht
lang	ADJD	lang
.	$.	.
Drum	PAV	drum
atm	VVFIN	atm
ichs	ADJD	ichs
ein	ART	eine
mit	APPR	mit
solcher	PIAT	solche
Lust	NN	Lust
.	$.	.
Er	PPER	er
geht	VVFIN	gehen
ans	APPRART	ans
Fenster	NN	Fenster
rechts	PTKVZ	rechts
.	$.	.
Zu	APPR	zu
meiner	PPOSAT	mein
Zeit	NN	Zeit
saß	VVFIN	sitzen
auch	ADV	auch
der	ART	die
Alte	NN	Alte
noch	ADV	noch
mit	APPR	mit
seiner	PPOSAT	sein
roten	ADJA	rot
Mütze	NN	Mütze
auf	APPR	auf
der	ART	die
Treppe	NN	Treppe
der	ART	die
kleinen	ADJA	klein
Löwen	NN	Löwe
und	KON	und
erzählte	ADJA	erzählt
Fabeln	NN	Fabel
.	$.	.
VENIER	NN	VENIER
.	$.	.
Der	ART	die
Cigolotti	NE	Cigolotti
?	$.	?
BARON	NN	Baron
.	$.	.
Wundervolle	ADJA	wundervoll
Fabeln	NN	Fabel
!	$.	!
Von	APPR	von
Serendib	NE	Serendib
und	KON	und
von	APPR	von
der	ART	die
Insel	NN	Insel
Pim-pim	NE	Pim-pim
.	$.	.
Er	PPER	er
macht	VVFIN	machen
das	ART	die
Fenster	NN	Fenster
auf	PTKVZ	auf
.	$.	.
Welch	PIAT	welche
eine	ART	eine
Luft	NN	Luft
ist	VAFIN	sein
das	PDS	die
!	$.	!
In	APPR	in
solcher	PIAT	solche
Nacht	NN	Nacht
ward	VVFIN	werd
diese	PDAT	dies
Stadt	NN	Stadt
gegründet	VVPP	gründen
.	$.	.
Ihre	PPOSAT	ihr
Augen	NN	Auge
schwammen	VVFIN	schwimmen
in	APPR	in
Lust	NN	Lust
,	$,	,
er	PPER	er
hing	VVFIN	hängen
an	APPR	an
ihrem	PPOSAT	ihr
Hals	NN	Hals
,	$,	,
sie	PPER	sie
tranken	VVFIN	trinken
nichts	PIS	nichts
als	KOKOM	als
aufgelöste	ADJA	aufgelöst
Perlen	NN	Perle|Perlen
.	$.	.
VENIER	NN	VENIER
.	$.	.
Wer	PWS	wer
?	$.	?
BARON	NN	Baron
.	$.	.
Weißt	VVFIN	weißen
dus	ADJD	dus
nicht	PTKNEG	nicht
,	$,	,
weißt	VVFIN	weißen
du	PPER	du
den	ART	die
Anfang	NN	Anfang
nicht	PTKNEG	nicht
?	$.	?
Ihr	PPER	sie
seid	VAFIN	sein
die	ART	die
Letzten	NN	Letzte
nur	ADV	nur
von	APPR	von
ihrem	PPOSAT	ihr
Blut	NN	Blut
.	$.	.
VENIER	NN	VENIER
.	$.	.
Wovon	PWAV	wovon
den	ART	die
Anfang	NN	Anfang
?	$.	?
BARON	NN	Baron
.	$.	.
Von	APPR	von
Venedig	NE	Venedig
.	$.	.
Hier	ADV	hier
war	VAFIN	sein
solch	PIAT	solche
ein	ART	eine
öder	ADJA	öde
Wald	NN	Wald
am	APPRART	an
Rand	NN	Rand
des	ART	die
Meeres	NN	Meer
wie	KOKOM	wie
bei	APPR	bei
Ravenna	NE	Ravenna
.	$.	.
Aber	KON	aber
Fischer	NE	Fischer
zogen	VVFIN	ziehen
an	APPR	an
Perlenschmüren	NN	Perlenschmüren
und	KON	und
an	APPR	an
ihrem	PPOSAT	ihr
langen	ADJA	lang
goldroten	ADJA	goldrot
Haar	NN	Haar
Prinzessinnen	NN	Prinzessin
ans	APPRART	ans
Ufer	NN	Ufer
.	$.	.
VENIER	NN	VENIER
.	$.	.
Prinzessinnen	NN	Prinzessin
?	$.	?
BARON	NN	Baron
.	$.	.
Von	APPR	von
Serendib	NE	Serendib
,	$,	,
was	PWS	was
weiß	VVFIN	wissen
ich	PPER	ich
!	$.	!
Sie	PPER	Sie
waren	VAFIN	sein
nackt	ADJD	nackt
und	KON	und
leuchteten	VVFIN	leuchten
wie	KOKOM	wie
Perlen	NN	Perle|Perlen
und	KON	und
lebten	VVFIN	leben
mit	APPR	mit
den	ART	die
Fischern	NN	Fischer
.	$.	.
Andre	NE	Andre
kamen	VVFIN	kommen
dann	ADV	dann
nach	PTKVZ	nach
,	$,	,
auf	APPR	auf
Ungeheuern	NN	Ungeheuer
durch	APPR	durch
die	ART	die
Luft	NN	Luft
und	KON	und
durch	APPR	durch
das	ART	die
Meer	NN	Meer
gefahren	VVPP	fahren
.	$.	.
Tra	ADJA	Tra
la	FM	la
la	FM	la
–	NN	–
Er	PPER	er
sucht	VVFIN	suchen
eine	ART	eine
Melodie	NN	Melodie
.	$.	.
Wie	KOUS	wie
war	VAFIN	sein
das	PDS	die
,	$,	,
was	PRELS	was
sie	PPER	sie
sang	VVFIN	singen
?	$.	?
Tra	ADJA	Tra
la	FM	la
la	FM	la
la	FM	la
...	$.	...
VENIER	NN	VENIER
aufstehend	ADJD	aufstehend
.	$.	.
Wer	PWS	wer
sang	VVFIN	singen
?	$.	?
BARON	NN	Baron
.	$.	.
Die	ART	die
Mandane	NE	Mandane
!	$.	!
heut	VVFIN	heuen
in	APPR	in
der	ART	die
Oper	NN	Oper
.	$.	.
Oder	KON	oder
Zenobia	NE	Zenobia
,	$,	,
wie	KOKOM	wie
?	$.	?
Sehr	ADV	sehr
schön	ADJD	schön
.	$.	.
Sehr	ADV	sehr
schön	ADJD	schön
.	$.	.
Er	PPER	er
fährt	VVFIN	fahren
wieder	ADV	wieder
in	APPR	in
seiner	PPOSAT	sein
Erzählung	NN	Erzählung
fort	PTKVZ	fort
.	$.	.
Doch	ADV	doch
später	ADJD	spät
dann	ADV	dann
zerging	VVFIN	zergehen
die	ART	die
Zauberstadt	NN	Zauberstadt
–	ADJD	–
nicht	PTKNEG	nicht
ganz	ADV	ganz
!	$.	!
es	PPER	es
blieb	VVFIN	bleiben
ein	ART	eine
Etwas	NN	Etwas
in	APPR	in
der	ART	die
Luft	NN	Luft
,	$,	,
im	APPRART	in
Blut	NN	Blut
!	$.	!
Mit	APPR	mit
rosenfarbnen	ADJA	rosenfarbnen
Muschellippen	NN	Muschellippen
küßte	VVFIN	küssen
das	ART	die
Meer	NN	Meer
und	KON	und
leckte	VVFIN	lecken
mit	APPR	mit
smaragdnen	ADJA	smaragdnen
Zungen	NN	Zunge
die	ART	die
Füße	NN	Fuß
dieser	PDAT	dies
Stadt	NN	Stadt
!	$.	!
Die	ART	die
Kirchen	NN	Kirche
stiegen	VVFIN	steigen
wie	KOKOM	wie
Häuser	NN	Haus
der	ART	die
verschwiegnen	ADJA	verschwiegnen
Lust	NN	Lust
empor	ADV	empor
–	ADJA	–
VENIER	NN	VENIER
.	$.	.
Sie	PPER	Sie
haben	VAFIN	haben
die	ART	die
Beredsamkeit	NN	Beredsamkeit
eines	ART	eine
Dichters	NN	Dichter
,	$,	,
mein	PPOSAT	mein
Baron	NN	Baron
.	$.	.
BARON	NN	Baron
.	$.	.
Oh	ITJ	oh
,	$,	,
eines	ART	eine
Liebhabers	NN	Liebhaber
,	$,	,
höchstens	ADV	höchstens
eines	ART	eine
Liebhabers	NN	Liebhaber
.	$.	.
VENIER	NN	VENIER
.	$.	.
Eines	ART	eine
Liebhabers	NN	Liebhaber
,	$,	,
der	PRELS	die
sich	PRF	sich
gerade	ADV	gerade
hier	ADV	hier
...	$.	...
?	$.	?
BARON	NN	Baron
.	$.	.
Der	ART	die
glücklichsten	ADJA	glücklich
Stunden	NN	Stunde|Stunden
erinnert	VVFIN	erinnern
,	$,	,
der	PRELS	die
unbeschreiblichsten	ADJD	unbeschreiblichsten
,	$,	,
der	PRELS	die
unvergeßlichsten	ADJD	unvergeßlich
...	$.	...
Venier	NN	Venier
,	$,	,
Bewegung	NN	Bewegung
.	$.	.
BARON	NN	Baron
.	$.	.
Sie	PPER	Sie
war	VAFIN	sein
ein	ART	eine
Kind	NN	Kind
und	KON	und
wurde	VAFIN	werden
in	APPR	in
meinen	PPOSAT	mein
Armen	NN	Arm|Arme
zum	APPRART	zu
Weib	NN	Weib
.	$.	.
Ihre	PPOSAT	ihr
ersten	ADJA	erst
Küsse	NN	Kuss
waren	VAFIN	sein
unerfahren	ADJD	unerfahren
wie	KOKOM	wie
aus	APPR	aus
dem	ART	die
Nest	NN	Nest
gefallene	ADJA	gefallen
junge	ADJA	jung
Tauben	NN	Taube
,	$,	,
ihre	PPOSAT	ihr
letzten	ADJA	letzt
Küsse	NN	Kuss
sogen	VVFIN	saugen
die	ART	die
Seele	NN	Seele
aus	APPR	aus
mir	PPER	ich
heraus	PTKVZ	heraus
!	$.	!
Wenn	KOUS	wenn
sie	PPER	sie
kam	VVFIN	kommen
,	$,	,
abends	ADV	abends
oder	KON	oder
in	APPR	in
der	ART	die
Früh	ADJD	früh
,	$,	,
schlanker	ADJD	schlank
als	KOKOM	als
ein	ART	eine
Knabe	NN	Knabe
!	$.	!
sie	PPER	sie
war	VAFIN	sein
in	APPR	in
den	ART	die
großen	ADJA	groß
alten	ADJA	alt
Mantel	NN	Mantel
gewickelt	VVPP	wickeln
,	$,	,
dann	ADV	dann
warf	VVFIN	werfen
sie	PPER	sie
ihn	PPER	er
hinter	APPR	hinter
sich	PRF	sich
und	KON	und
trat	VVFIN	treten
hervor	PTKVZ	hervor
wie	KOKOM	wie
ein	ART	eine
Reh	NN	Reh
aus	APPR	aus
dem	ART	die
Wald	NN	Wald
.	$.	.
VENIER	NN	VENIER
.	$.	.
So	ADV	so
hinter	APPR	hinter
sich	PRF	sich
...	$.	...
BARON	NN	Baron
.	$.	.
Den	ART	die
Mantel	NN	Mantel
,	$,	,
ja	ADV	ja
.	$.	.
VENIER	NN	VENIER
.	$.	.
Den	ART	die
Mantel	NN	Mantel
,	$,	,
und	KON	und
trat	VVFIN	treten
hervor	PTKVZ	hervor
.	$.	.
BARON	NN	Baron
.	$.	.
Sie	PPER	Sie
glühte	VVFIN	glühen
unter	APPR	unter
meinen	PPOSAT	mein
Küssen	NN	Kuss|Küssen
auf	PTKVZ	auf
.	$.	.
Sie	PPER	Sie
hatte	VAFIN	haben
einen	ART	eine
andern	PIAT	andere
Mantel	NN	Mantel
dann	ADV	dann
von	APPR	von
nacktem	ADJA	nackt
Glanz	NN	Glanz
und	KON	und
ungreifbarem	ADJA	ungreifbar
Gold	NN	Gold
.	$.	.
Ihr	PPOSAT	ihr
